Subject_ID,Full_Trial_Accuracy,Windowed_Accuracy
S1,0.9166666666666666,0.7292467860076948
S2,1.0,0.8775826908726616
S3,1.0,0.9075744030840435
S4,1.0,0.863140072263846
S5,1.0,0.8874178955424022
S6,1.0,0.8534978130845761
S7,1.0,0.8382302434556071
S8,1.0,0.7131565157082407
S9,1.0,0.7392459251892389
S10,1.0,0.8578168903283063
S11,1.0,0.8137327565835571
S12,0.9166666666666666,0.680628096505732
S13,1.0,0.8420671424448626
S14,1.0,0.9405277750891687
S15,1.0,0.8917325249923342
S16,1.0,0.8718143330176816
